scen_number;sensitivity;n_iter;CCGT_new;WindOffshore;SPP_coal;WindOnshore;Nuclear;Solar;OCGT;SMR;SMRCCS;Alkaline_base;Alkaline_peak;Ind;Import
100;ref;5000;-647437.9901064562;-241480.65291097786;-210096.55512849867;-7.078900489964998e6;-39792.36588994803;-2.555870192436607e6;-120069.25552599346;-4.462883046086105e-11;-1.2435388250048907e-11;-1.0811993855745313e6;-772847.4039201727;-0.0;46216.38910070129
101;ref;5000;-647437.9901064764;-241480.65291056907;-210091.12744193833;-7.202501849196659e6;-39399.66194498524;-2.5721418836878953e6;-120069.25552594918;-1.1042717261097792e-11;-5.186778759785243e-11;-1.1267893784083684e6;-762680.5913036497;-0.0;46205.572383002946
102;ref;5000;-647437.9901064563;-241480.65291074454;-210091.12744199397;-7.338672350029871e6;-39519.597424778025;-2.576290857863238e6;-120069.25552595356;-1.8576470157162536e-9;-1.4546610205056969e-9;-1.4238895193143308e6;-622099.5105523858;-0.0;46147.09340793244
103;ref;3552;-2.142261828143443e-9;-11106.792002615886;-45461.164180790896;-1.1643704284736086e6;-52736.20540268184;-257306.36956642097;-2218.908870853618;-9.981258926121666e-12;-2.4750548377910318e-11;-3892.952146667166;-102770.71137998889;-0.0;166431.53157276422
104;ref;5000;-1.1268547471814336e-7;-11106.792000662024;-45460.08634541211;-1.2179737797826356e6;-51892.13380092614;-342605.7710436418;-2750.734116568208;-7.103997804738549e-12;-5.950160782432639e-11;-88282.53312271571;-122303.26300405366;-0.0;109495.39836930668
105;ref;5000;-1.1838605741078057e-8;-11106.792000319088;-45511.13240698014;-1.29909650452448e6;-50544.571053271815;-427710.3608529244;-1603.5787434934684;-2.1034466014528182e-9;-2.2585734505322697e-11;-156218.6791078174;-153622.07395897686;-0.0;90058.35231772454
106;ref;5000;-8.752462195399931e-11;-11106.79200042456;-45036.35751353912;-1.3678205153926217e6;-49423.45457737996;-525390.9701663757;-647.9865330330063;-1.7473674859100627e-11;-2.723118908489519e-10;-212623.93768362308;-190959.58994912196;-0.0;80008.18587273122
107;ref;5000;-1.6936506303393424e-8;-11106.792002524282;-45655.9157088707;-1.4361942922985486e6;-48469.32801597849;-634043.4197341941;-1.1679090685461872e-10;-2.903328031463803e-9;-1.2076943233275618e-11;-269031.8848341493;-230481.84162921715;-0.0;72739.14800896736
108;ref;5000;-1.417410260363949e-10;-11106.792005828018;-45777.36711852288;-1.5289644370782955e6;-47069.0392802913;-719417.6359339391;-8.690603634375559e-12;-8.37799602376206e-10;-2.8761701919519688e-11;-324014.8042151233;-270877.196828166;-0.0;68848.56879498201
2;ref;50;-7.170034784878244e-8;-47767.55747342648;-23366.644468296043;-1.1171742210735597e6;-50144.72528847182;-98676.21114590944;-6.676417736002743e-11;-9.005624216121296e-11;-5.929261031876794e-10;-1962.3974790017269;-2738.828354985916;-0.0;163572.08453996087
5;ref;50;-3.1632768511384596e-8;-48584.70943229413;-23366.679416974057;-1.1177648093481879e6;-50194.85998112825;-98891.51189778482;-9.23273144947263e-10;-8.989920689009693e-11;-2.0150286006369304e-11;-1969.6193960297283;-3149.8768183013995;-0.0;163238.41694193694
5;ref;50;-3.1632768511384596e-8;-48584.70943229413;-23366.679416974057;-1.1177648093481879e6;-50194.85998112825;-98891.51189778482;-9.23273144947263e-10;-8.989920689009693e-11;-2.0150286006369304e-11;-1969.6193960297283;-3149.8768183013995;-0.0;163238.41694193694
5;ref;50;-3.1632768511384596e-8;-48584.70943229413;-23366.679416974057;-1.1177648093481879e6;-50194.85998112825;-98891.51189778482;-9.23273144947263e-10;-8.989920689009693e-11;-2.0150286006369304e-11;-1969.6193960297283;-3149.8768183013995;-0.0;-163238.41694193694
